,0,1,2,3,4,5,6,7,8,9,10,11
0,gaul,kings,children,land,tyrant,bahram,strip,religious,powers,strip,clergy,nobles
1,master,gothic,koran,king,mother,romans,insured,devotion,romans,insured,persecution,constantinople
2,constantinople,romans,jurisprudence,religion,byzantine,hormouz,sentimental,divine,marcus,sentimental,christ,holy
3,province,italy,apostle,christian,marriage,magi,petitioners,faith,honours,petitioners,orthodox,popes
4,valour,saxons,religion,asia,sons,constantinople,disinherited,church,church,disinherited,ecclesiastical,french
5,gothic,theodoric,medina,christians,empress,chagan,cumbersome,superstition,justin,cumbersome,religious,greek
6,camp,barbarian,arabian,europe,purple,phocas,refrain,worship,republic,refrain,bishop,clergy
7,constantine,visigoths,saracens,turks,brother,avars,marcia,mankind,dignity,marcia,constantine,century
8,julian,aetius,law,holy,royal,nushirvan,effusions,temple,anastasius,effusions,zeal,peter
9,senate,clovis,caliph,sea,michael,maurice,amours,gods,law,amours,religion,romans
10,king,gaul,mecca,sultan,greeks,persia,ridiculed,julian,commodus,ridiculed,christian,greeks
11,goths,king,arabs,turkish,father,persians,recoiled,christian,theodora,recoiled,faith,italy
12,italy,franks,prophet,greek,andronicus,persian,instructors,diocletian,augustus,instructors,christians,pope
13,romans,huns,god,constantinople,constantinople,heraclius,nemean,religion,senate,nemean,bishops,st
14,troops,attila,mahomet,greeks,constantine,chosroes,balustrade,christians,justinian,balustrade,church,church
